game,winner,type,player_sum,dealer_sum,player_blackjack,dealer_blackjack,number_of_drawn_cards,drawn_cards
1,draw,comparison,19,19,False,False,5,"[{'suit': 'hearts', 'color': 'red', 'card': 'Ace', 'value': 11, 'person': 'player'}, {'suit': 'spades', 'color': 'black', 'card': 'King', 'value': 10, 'person': 'dealer'}, {'suit': 'hearts', 'color': 'red', 'card': 'Two', 'value': 2, 'person': 'player'}, {'suit': 'diamonds', 'color': 'red', 'card': 'Nine', 'value': 9, 'person': 'dealer'}]"
2,dealer,bust,25,7,False,False,5,"[{'suit': 'clubs', 'color': 'black', 'card': 'Seven', 'value': 7, 'person': 'player'}, {'suit': 'spades', 'color': 'black', 'card': 'Four', 'value': 4, 'person': 'dealer'}, {'suit': 'spades', 'color': 'black', 'card': 'Eight', 'value': 8, 'person': 'player'}, {'suit': 'diamonds', 'color': 'red', 'card': 'Three', 'value': 3, 'person': 'dealer'}]"
3,player,comparison,20,18,False,False,6,"[{'suit': 'hearts', 'color': 'red', 'card': 'Ten', 'value': 10, 'person': 'player'}, {'suit': 'spades', 'color': 'black', 'card': 'Jack', 'value': 10, 'person': 'dealer'}, {'suit': 'hearts', 'color': 'red', 'card': 'Two', 'value': 2, 'person': 'player'}, {'suit': 'clubs', 'color': 'black', 'card': 'Eight', 'value': 8, 'person': 'dealer'}, {'suit': 'hearts', 'color': 'red', 'card': 'Three', 'value': 3, 'person': 'player'}]"
4,player,bust,16,25,False,False,7,"[{'suit': 'clubs', 'color': 'black', 'card': 'Six', 'value': 6, 'person': 'player'}, {'suit': 'spades', 'color': 'black', 'card': 'Five', 'value': 5, 'person': 'dealer'}, {'suit': 'diamonds', 'color': 'red', 'card': 'Three', 'value': 3, 'person': 'player'}, {'suit': 'spades', 'color': 'black', 'card': 'Ten', 'value': 10, 'person': 'dealer'}, {'suit': 'diamonds', 'color': 'red', 'card': 'Four', 'value': 4, 'person': 'player'}, {'suit': 'hearts', 'color': 'red', 'card': 'Three', 'value': 3, 'person': 'player'}]"
5,player,blackjack,21,17,True,False,4,"[{'suit': 'hearts', 'color': 'red', 'card': 'Ten', 'value': 10, 'person': 'player'}, {'suit': 'spades', 'color': 'black', 'card': 'Queen', 'value': 10, 'person': 'dealer'}, {'suit': 'spades', 'color': 'black', 'card': 'Ace', 'value': 11, 'person': 'player'}]"
6,dealer,comparison,19,20,False,False,6,"[{'suit': 'diamonds', 'color': 'red', 'card': 'Six', 'value': 6, 'person': 'player'}, {'suit': 'spades', 'color': 'black', 'card': 'Five', 'value': 5, 'person': 'dealer'}, {'suit': 'spades', 'color': 'black', 'card': 'Six', 'value': 6, 'person': 'player'}, {'suit': 'hearts', 'color': 'red', 'card': 'Jack', 'value': 10, 'person': 'dealer'}, {'suit': 'diamonds', 'color': 'red', 'card': 'Seven', 'value': 7, 'person': 'player'}]"
7,dealer,bust,24,20,False,False,7,"[{'suit': 'spades', 'color': 'black', 'card': 'Two', 'value': 2, 'person': 'player'}, {'suit': 'clubs', 'color': 'black', 'card': 'Ten', 'value': 10, 'person': 'dealer'}, {'suit': 'spades', 'color': 'black', 'card': 'King', 'value': 10, 'person': 'player'}, {'suit': 'diamonds', 'color': 'red', 'card': 'Ten', 'value': 10, 'person': 'dealer'}, {'suit': 'spades', 'color': 'black', 'card': 'Ace', 'value': 11, 'person': 'player'}, {'suit': 'clubs', 'color': 'black', 'card': 'Ace', 'value': 11, 'person': 'player'}]"
8,player,comparison,20,17,False,False,6,"[{'suit': 'diamonds', 'color': 'red', 'card': 'Ten', 'value': 10, 'person': 'player'}, {'suit': 'clubs', 'color': 'black', 'card': 'Seven', 'value': 7, 'person': 'dealer'}, {'suit': 'diamonds', 'color': 'red', 'card': 'Jack', 'value': 10, 'person': 'player'}, {'suit': 'spades', 'color': 'black', 'card': 'Four', 'value': 4, 'person': 'dealer'}, {'suit': 'clubs', 'color': 'black', 'card': 'Ace', 'value': 11, 'person': 'dealer'}]"
9,dealer,bust,25,20,False,False,5,"[{'suit': 'diamonds', 'color': 'red', 'card': 'Eight', 'value': 8, 'person': 'player'}, {'suit': 'clubs', 'color': 'black', 'card': 'Queen', 'value': 10, 'person': 'dealer'}, {'suit': 'clubs', 'color': 'black', 'card': 'Seven', 'value': 7, 'person': 'player'}, {'suit': 'spades', 'color': 'black', 'card': 'King', 'value': 10, 'person': 'dealer'}]"
10,player,bust,19,22,False,False,9,"[{'suit': 'spades', 'color': 'black', 'card': 'Five', 'value': 5, 'person': 'player'}, {'suit': 'spades', 'color': 'black', 'card': 'Three', 'value': 3, 'person': 'dealer'}, {'suit': 'clubs', 'color': 'black', 'card': 'Six', 'value': 6, 'person': 'player'}, {'suit': 'spades', 'color': 'black', 'card': 'Two', 'value': 2, 'person': 'dealer'}, {'suit': 'spades', 'color': 'black', 'card': 'Ace', 'value': 11, 'person': 'player'}, {'suit': 'diamonds', 'color': 'red', 'card': 'Seven', 'value': 7, 'person': 'player'}, {'suit': 'diamonds', 'color': 'red', 'card': 'Four', 'value': 4, 'person': 'dealer'}, {'suit': 'diamonds', 'color': 'red', 'card': 'Three', 'value': 3, 'person': 'dealer'}]"
11,player,bust,17,23,False,False,5,"[{'suit': 'spades', 'color': 'black', 'card': 'Seven', 'value': 7, 'person': 'player'}, {'suit': 'hearts', 'color': 'red', 'card': 'King', 'value': 10, 'person': 'dealer'}, {'suit': 'diamonds', 'color': 'red', 'card': 'Ten', 'value': 10, 'person': 'player'}, {'suit': 'spades', 'color': 'black', 'card': 'Six', 'value': 6, 'person': 'dealer'}]"
12,dealer,comparison,17,19,False,False,6,"[{'suit': 'diamonds', 'color': 'red', 'card': 'Nine', 'value': 9, 'person': 'player'}, {'suit': 'spades', 'color': 'black', 'card': 'Two', 'value': 2, 'person': 'dealer'}, {'suit': 'diamonds', 'color': 'red', 'card': 'Three', 'value': 3, 'person': 'player'}, {'suit': 'clubs', 'color': 'black', 'card': 'Nine', 'value': 9, 'person': 'dealer'}, {'suit': 'clubs', 'color': 'black', 'card': 'Five', 'value': 5, 'person': 'player'}]"
13,player,comparison,18,17,False,False,5,"[{'suit': 'hearts', 'color': 'red', 'card': 'Eight', 'value': 8, 'person': 'player'}, {'suit': 'hearts', 'color': 'red', 'card': 'Five', 'value': 5, 'person': 'dealer'}, {'suit': 'spades', 'color': 'black', 'card': 'Jack', 'value': 10, 'person': 'player'}, {'suit': 'spades', 'color': 'black', 'card': 'Two', 'value': 2, 'person': 'dealer'}]"
14,player,bust,16,23,False,False,6,"[{'suit': 'diamonds', 'color': 'red', 'card': 'Jack', 'value': 10, 'person': 'player'}, {'suit': 'hearts', 'color': 'red', 'card': 'Two', 'value': 2, 'person': 'dealer'}, {'suit': 'diamonds', 'color': 'red', 'card': 'Six', 'value': 6, 'person': 'player'}, {'suit': 'clubs', 'color': 'black', 'card': 'Queen', 'value': 10, 'person': 'dealer'}, {'suit': 'clubs', 'color': 'black', 'card': 'Three', 'value': 3, 'person': 'dealer'}]"
15,dealer,comparison,16,18,False,False,6,"[{'suit': 'hearts', 'color': 'red', 'card': 'Six', 'value': 6, 'person': 'player'}, {'suit': 'clubs', 'color': 'black', 'card': 'Eight', 'value': 8, 'person': 'dealer'}, {'suit': 'spades', 'color': 'black', 'card': 'Two', 'value': 2, 'person': 'player'}, {'suit': 'hearts', 'color': 'red', 'card': 'Ten', 'value': 10, 'person': 'dealer'}, {'suit': 'spades', 'color': 'black', 'card': 'Three', 'value': 3, 'person': 'player'}]"
16,dealer,comparison,17,21,False,False,5,"[{'suit': 'diamonds', 'color': 'red', 'card': 'Seven', 'value': 7, 'person': 'player'}, {'suit': 'hearts', 'color': 'red', 'card': 'Ace', 'value': 11, 'person': 'dealer'}, {'suit': 'spades', 'color': 'black', 'card': 'Jack', 'value': 10, 'person': 'player'}, {'suit': 'spades', 'color': 'black', 'card': 'Ace', 'value': 11, 'person': 'dealer'}]"
17,player,blackjack,21,7,True,False,4,"[{'suit': 'clubs', 'color': 'black', 'card': 'Ace', 'value': 11, 'person': 'player'}, {'suit': 'diamonds', 'color': 'red', 'card': 'Four', 'value': 4, 'person': 'dealer'}, {'suit': 'clubs', 'color': 'black', 'card': 'King', 'value': 10, 'person': 'player'}]"
18,dealer,bust,22,12,False,False,6,"[{'suit': 'diamonds', 'color': 'red', 'card': 'Five', 'value': 5, 'person': 'player'}, {'suit': 'hearts', 'color': 'red', 'card': 'King', 'value': 10, 'person': 'dealer'}, {'suit': 'clubs', 'color': 'black', 'card': 'Six', 'value': 6, 'person': 'player'}, {'suit': 'hearts', 'color': 'red', 'card': 'Two', 'value': 2, 'person': 'dealer'}, {'suit': 'spades', 'color': 'black', 'card': 'Ace', 'value': 11, 'person': 'player'}]"
19,player,bust,19,24,False,False,6,"[{'suit': 'clubs', 'color': 'black', 'card': 'Three', 'value': 3, 'person': 'player'}, {'suit': 'spades', 'color': 'black', 'card': 'Queen', 'value': 10, 'person': 'dealer'}, {'suit': 'clubs', 'color': 'black', 'card': 'Jack', 'value': 10, 'person': 'player'}, {'suit': 'spades', 'color': 'black', 'card': 'Four', 'value': 4, 'person': 'dealer'}, {'suit': 'spades', 'color': 'black', 'card': 'Six', 'value': 6, 'person': 'player'}]"
20,player,comparison,19,18,False,False,6,"[{'suit': 'diamonds', 'color': 'red', 'card': 'King', 'value': 10, 'person': 'player'}, {'suit': 'hearts', 'color': 'red', 'card': 'Four', 'value': 4, 'person': 'dealer'}, {'suit': 'hearts', 'color': 'red', 'card': 'Nine', 'value': 9, 'person': 'player'}, {'suit': 'diamonds', 'color': 'red', 'card': 'Three', 'value': 3, 'person': 'dealer'}, {'suit': 'spades', 'color': 'black', 'card': 'Five', 'value': 5, 'person': 'dealer'}]"
21,dealer,comparison,18,21,False,False,6,"[{'suit': 'spades', 'color': 'black', 'card': 'Eight', 'value': 8, 'person': 'player'}, {'suit': 'hearts', 'color': 'red', 'card': 'Eight', 'value': 8, 'person': 'dealer'}, {'suit': 'hearts', 'color': 'red', 'card': 'Queen', 'value': 10, 'person': 'player'}, {'suit': 'diamonds', 'color': 'red', 'card': 'Three', 'value': 3, 'person': 'dealer'}, {'suit': 'hearts', 'color': 'red', 'card': 'Two', 'value': 2, 'person': 'dealer'}]"
22,dealer,comparison,17,18,False,False,4,"[{'suit': 'diamonds', 'color': 'red', 'card': 'Eight', 'value': 8, 'person': 'player'}, {'suit': 'clubs', 'color': 'black', 'card': 'Eight', 'value': 8, 'person': 'dealer'}, {'suit': 'diamonds', 'color': 'red', 'card': 'Nine', 'value': 9, 'person': 'player'}]"
